Proband_Number,StepLength,MeanStride,StepTime,StrideTime,cadence,velocity,cluster
Proband10_RG1,21.557143,43.114286,0.346286,0.692571,86.633663,0.622525 ,1
Proband12_RG1,21.000000,42.000000,0.565000,1.130000,53.097345,0.371681 ,0
Proband13_RG1,17.066667,34.133333,0.496000,0.992000,60.483871,0.344086 ,0
Proband14_RG1,22.095238,44.190476,0.512381,1.024762,58.550186,0.431227 ,0
Proband15_RG1,16.761905,33.523810,0.409048,0.818095,73.341094,0.409779 ,0
Proband16_RG1,16.761905,33.523810,0.409048,0.818095,73.341094,0.409779 ,0
Proband17_RG1,18.825000,37.650000,0.416000,0.832000,72.115385,0.452524 ,0
Proband18_RG1,24.500000,49.000000,0.660000,1.320000,45.454545,0.371212 ,0
Proband1_RG1,21.928571,43.857143,0.267619,0.535238,112.099644,0.819395 ,1
Proband2_RG1,23.285714,46.571429,0.320000,0.640000,93.750000,0.727679 ,1
Proband3_RG1,25.916667,51.833333,0.350000,0.700000,85.714286,0.740476 ,1
Proband4_RG1,23.000000,46.000000,0.310000,0.620000,96.774194,0.741935 ,1
Proband5_RG1,25.059524,50.119048,0.401429,0.802857,74.733096,0.624259 ,0
Proband6_RG1,19.750000,39.500000,0.388000,0.776000,77.319588,0.509021 ,0
Proband7_RG1,24.778846,49.557692,0.412564,0.825128,72.715973,0.600606 ,0
Proband8_RG1,27.545455,55.090909,0.409545,0.819091,73.251942,0.672586 ,0
Proband9_RG1,17.383333,34.766667,0.324000,0.648000,92.592593,0.536523 ,1
